question_text,question_image_url,course_name,chapter,Topic,marks,difficulty,option_1,option_1_image_url,option_2,option_2_image_url,option_3,option_3_image_url,option_4,option_4_image_url,answer_option_number
The amine which will not liberate nitrogen on reaction with nitrous acid is:,,Chemistry,Organic Chemistry,Amines,1,Medium,Trimethylamine,,Ethylamine,,Sec-butylamine,,Tert-butylamine,,1
Artificial silk is a:,,Chemistry,Biomolecules,Fibers,1,Easy,Polyester,,Polyamide,,Polysaccharide,,Polythene,,3
Which of the following is not used as an antacid?,,Chemistry,Inorganic Chemistry,Medicines,1,Medium,Magnesium hydroxide,,Sodium carbonate,,Sodium bicarbonate,,Sodium phosphate,,2
"The maximum pH of a solution which is 0.1 M in Mg²⁺, from which Mg(OH)₂ is not precipitated is: (Ksp = 1.2 × 10⁻¹¹)",,Chemistry,Physical Chemistry,Solubility product,1,Hard,4.96,,6.96,,9.04,,7.54,,2
Separation of two substances by fractional crystallization depends upon:,,Chemistry,Physical Chemistry,Separation methods,1,Medium,Crystalline shape,,Viscosity,,Solubility,,Density,,3
Which of the following properties of elements increases down the groups in periodic table?,,Chemistry,Inorganic Chemistry,Periodic properties,1,Easy,Ionization energy,,Electronegativity,,Melting point,,Atomic radius,,4
Sodium chloride crystal is an example of:,,Chemistry,Solid State,Crystal structure,1,Medium,Face-centered cubic structure,,Body-centered cubic structure,,Simple cubic structure,,Hexagonal close-pack,,1
Rectified spirit contains:,,Chemistry,Organic Chemistry,Alcohols,1,Easy,Methyl alcohol,,Ethyl alcohol,,Both a & b,,None,,3
Which of the following is used as refrigerant?,,Chemistry,Organic Chemistry,Refrigerants,1,Medium,CH₃COCH₃,,CF₄,,CCl₄,,CCl₂F₂,,4
Quark Combination of neutron is:,,Physics,Modern Physics,Particle physics,1,Medium,udd,,uud,,uuu,,ddd,,1
Dentist uses:,,Physics,Optics,Mirrors,1,Easy,Concave mirror,,Convex mirror,,Parallel mirror,,Concave mirror,,1
Which has most penetrating power?,,Physics,Modern Physics,Radiation,1,Medium,Alpha,,Gamma,,Beta,,Neutrons,,2
1 LUX is:,,Physics,Optics,Light,1,Medium,1 lumen/m²,,1 lumen/cm²,,1 lumen/km²,,1 phot,,1
Dimension of coefficient of viscosity:,,Physics,Mechanics,Viscosity,1,Medium,[M¹L⁻¹T⁻²],,[ML⁻¹T⁻¹],,[M¹L²T⁻¹],,[ML²T⁻²],,2
"In P type semiconductor, silicon is doped with:",,Physics,Electronics,Semiconductors,1,Medium,Gallium,,Germanium,,Phosphorous,,Arsenic,,1
"If the length of wire is stretched to double, resistance becomes:",,Physics,Electricity,Resistance,1,Medium,3 times,,4 times,,5 times,,9 times,,2
Which of the following is non-ohmic?,,Physics,Electricity,Ohm’s law,1,Easy,Tungsten,,CO₂,,Iron,,Diode,,4
Relation between Dyne and Newton is:,,Physics,Mechanics,Units & dimensions,1,Medium,1 Dyne = 10⁷ Newton,,1 Dyne = 10⁶ Newton,,1 Dyne = 10⁻⁵ Newton,,1 Dyne = 10⁷ Newton,,3
Which of the following is shown by both light and sound?,,Physics,Waves,Interference & beats,1,Medium,Beats,,Interference,,Newton’s rings,,None,,2
A steel wire of length 1 m and cross section area = 2 cm² is stretched by 1 mm by a certain force. What is the energy stored in the wire? (Y=2×10¹¹ N/m²),,Physics,Mechanics,Elasticity,1,Hard,2 × 10⁻¹ J,,10⁵ J,,4 × 10⁻³ J,,3.2 × 10³ J,,4
Cut off wavelength of X-ray depends upon:,,Physics,Modern Physics,X-rays,1,Medium,Accelerating voltage only,,Both accelerating voltage and material of target,,Both filament current and accelerating voltage,,Filament current only,,1
"In SHM, the period of oscillation of mass M suspended from a spring is 1s, then time period of oscillation of mass 4M will be:",,Physics,Oscillations,SHM,1,Medium,1s,,2s,,1/2s,,4s,,2
Loudness and pitch depend upon:,,Physics,Waves,Sound,1,Medium,Size of sound producing body,,Both are interdependent,,Both frequency,,Intensity and frequency,,4
Number of electrons per second travelled if we apply 1 µampere current is:,,Physics,Electricity,Current electricity,1,Medium,8 × 10⁵ per second,,8 × 10¹² per second,,8 × 10⁶ per second,,5 × 10⁵ per second,,2
The ratio of escape velocity of an earth satellite to its orbital velocity is nearly equal to:,,Physics,Gravitation,Escape velocity,1,Medium,√2,,2,,1/2,,1/2√2,,1
"If an object fall from top of inclined plane and gets velocity 'u' in ground, how much distance will it cover if it is projected upward with that velocity?",,Physics,Mechanics,Motion,1,Medium,u²/2gsinθ,,u²/2gcosθ,,u²/2gtanθ,,u²/2gcotθ,,1
A fielder can throw a cricket ball to a maximum horizontal distance of 100m. How high the fielder can throw the same ball?,,Physics,Mechanics,Projectile motion,1,Medium,25 m,,50 m,,40 m,,100 m,,2
A person who can swim at 5 km/hr in still water cross a river 1 km wide flowing at 3 km/hr in shortest time. How far will he reach at another bank?,,Physics,Mechanics,Relative velocity,1,Hard,1 km,,600 m,,800 m,,1200 m,,3
Which one of the following pairs of physical quantities has the same dimension?,,Physics,Mechanics,Dimensions,1,Medium,Power and energy,,Work and energy,,Force and momentum,,Energy and momentum,,2
Greenhouse effect is caused by:,,Physics,Environment,Greenhouse effect,1,Easy,Infrared rays,,UV rays,,X-rays,,Visible rays,,1
Modulus of rigidity of rigid body is:,,Physics,Mechanics,Elasticity,1,Medium,∞,,0,,1,,None,,2
Uniform circular motion is motion with:,,Physics,Mechanics,Circular motion,1,Medium,Constant velocity,,Constant acceleration,,Constant speed,,Variable speed,,3
A clock of period gains 5 seconds per day at 16°C and loses 15 seconds per day at 40°C. Then the clock keeps correct time at:,,Physics,Heat,Thermal expansion,1,Medium,32°C,,20°C,,24°C,,22°C,,4
"If a bimetallic strip is heated, it will:",,Physics,Heat,Thermal expansion,1,Easy,Bend towards the metal with higher thermal expansion coefficient,,Bend towards the metal with lower thermal expansion coefficient,,Not bend at all,,Twist itself into a helix,,1
"If one mole of an ideal gas at STP is heated through 1 K, the work done by the gas in heat unit will be:",,Physics,Thermodynamics,Ideal gas,1,Medium,1.98 cal,,8.31 cal,,0.831 cal,,83.1 cal,,2
If a gas is allowed to expand adiabatically against external pressure:,,Physics,Thermodynamics,Adiabatic expansion,1,Medium,Its temperature remains constant,,Pressure remains constant,,There is increase in internal energy,,There is decrease in internal energy,,4
A refrigerator has to transfer an average of 263J of heat per second from -10°C to 25°C. The average power consumed by the refrigerator is:,,Physics,Thermodynamics,Heat transfer,1,Hard,10 W,,20 W,,35 W,,40 W,,3
Velocity of sound is measured in hydrogen and oxygen gases at a given temperature. The ratio of two velocities will be (vH/vO):,,Physics,Waves,Sound velocity,1,Medium,1:4,,4:1,,1:1,,32:1,,2
A tuning fork (A) of unknown frequency gives 4 beats/sec when sounded with another fork B of frequency 256 Hz. The fork A is now loaded with a piece of wax and again 2 beats/sec are heard. Then the frequency of fork A is:,,Physics,Waves,Beats,1,Medium,252 Hz,,260 Hz,,256 Hz,,264 Hz,,2
The amplitude of superposition of two waves y₁ = 5sinωt and y₂ = 5cosωt is:,,Physics,Waves,Superposition principle,1,Medium,5√2,,5,,0,,10,,1
The first and second resonance are obtained at depth of 21.5 cm and 65 cm in a resonance air column experiment. The third resonance will be obtained at:,,Physics,Waves,Resonance,1,Medium,108.5 cm,,98.5 cm,,118.5 cm,,88.5 cm,,3
If the earth suddenly loses quality to attract things:,,Physics,Gravitation,Gravity,1,Easy,The mass will vanish,,The weight will vanish,,Both mass and weight will vanish,,None of the above,,2
"When the mirror is rotated through an angle 30° keeping incident ray constant, then the reflected ray is rotated through an angle:",,Physics,Optics,Reflection,1,Medium,25°,,60°,,45°,,90°,,2
"The focal length of a convex lens is f, when an object is placed between F and 2F, the image formed is:",,Physics,Optics,Lenses,1,Medium,At infinity and highly magnified,,"Beyond 2F, real, inverted and magnified",,"Virtual, erect and magnified",,"At 2F, real, inverted and equal size",,2
"Force between two identical spheres carrying charges +10µC and -20µC, kept at certain distance is F. If these two spheres are made in contact and then separated to the distance, force is F'. The ratio of these two forces is:",,Physics,Electrostatics,Coulomb’s law,1,Hard,-8:1,,8:1,,16:1,,-16:1,,2
"If a dielectric of K=5 is put between the plates of a charged capacitor, the charge on capacitor will become (initial charge was Q):",,Physics,Electrostatics,Capacitors,1,Medium,Q,,5Q,,Q/5,,25Q,,2
"A wire of resistance 2Ω is stretched 2 times, the resistance will be:",,Physics,Electricity,Resistance,1,Medium,2Ω,,4Ω,,6Ω,,8Ω,,4
The emf of a source doing 5J of work by 10C charge is:,,Physics,Electricity,EMF,1,Easy,0.5 V,,2 V,,6 V,,4 V,,4
"A battery is connected in a thermocouple, the two junctions will:",,Physics,Heat,Thermoelectricity,1,Medium,Be heated up,,Remain at the same temperature,,Be cooled,,Be heated at one junction and cooled at other,,4
"When an electron moves through a uniform magnetic field, its speed:",,Physics,Magnetism,Lorentz force,1,Medium,Increases,,Decreases,,Remains constant,,Depends on field,,3
A wire of mass 200 kg has capacitance 0.0014 μF/kg and frequency 50 kHz. Then what is the inductance when impedance is minimum?,,Physics,Electricity,AC circuits,1,Hard,0.3,,0.37,,0.477,,0.5,,3
"In an electronic transition, atom cannot emit:",,Physics,Modern Physics,Atomic spectra,1,Medium,UV radiation,,IR radiation,,Visible light,,Gamma rays,,3
The range of wavelength of UV rays is:,,Physics,Waves,Spectrum,1,Medium,100–400 nm,,400–800 nm,,200–600 nm,,500–700 nm,,1
The mass of a radioactive salt of half life 2 days is 10 gm. What amount of the salt will be left after 10 days?,,Physics,Nuclear Physics,Radioactivity,1,Medium,2.54 gm,,5 gm,,6.24 gm,,0.31 gm,,4
In npn transistor electron move from:,,Physics,Electronics,Transistors,1,Medium,Base to emitter,,Collector to emitter,,Collector to base,,Emitter to base,,2
Which of the following is universal gate?,,Physics,Electronics,Logic gates,1,Easy,OR,,NOT,,NAND,,XOR,,3
"A proton is accelerated to a kinetic energy of 1.60 × 10⁻¹³ J in a modern synchrotron. If the mass of a proton is 1.67 × 10⁻²⁷ kg, then increase in mass of proton is:",,Physics,Modern Physics,Relativity,1,Hard,0.89 × 10⁻³⁰ kg,,3.58 × 10⁻²⁶ kg,,1.78 × 10⁻³⁰ kg,,3.5 × 10⁻²⁶ kg,,2
"According to pulsation theory, the universe relax and contract at the time interval of:",,Physics,Astronomy,Cosmology,1,Medium,8 trillion yrs,,8 million yrs,,8 billion yrs,,8 years,,3
"If Raju is to the south of Ram and Rahim is to the east of Ram, in which direction is Raju with respect to Rahim?",,MAT,Directions,Logical reasoning,1,Medium,South-east,,South-west,,North-west,,North-east,,2
GIVE is Cooded as 5137 and BAT is Cooded as 924. How GATE is Cooded?,,MAT,Coding-Decoding,Alphabet coding,1,Medium,5427,,5724,,5247,,2547,,3
In a class of 35 students Kumal is placed seventh from bottom whereas Sonali placed exactly in between two. What is Kumal’s position from Pukar?,,MAT,Ranking,Ordering,1,Hard,9,,11,,13,,15,,2
"Pointing out to a lady, a girl said, “She is the daughter in law of the grandfather of my father’s only son.” How is the lady related to the girl?",,MAT,Blood Relations,Puzzle,1,Hard,Sister in law,,Mother,,Aunt,,Mother in law,,2
A father is now 3 times as old as his son. 5 years back he was 4 times as old as his son the age of son in years is:,,MAT,Arithmetic,Age problems,1,Medium,12,,15,,18,,20,,3
"5, 6, 9, 15, 7, 40",,MAT,Number Series,Sequence,1,Medium,21,,25,,27,,33,,3
"C, Z, F, X, I, L, T, O, ??",,MAT,Series,Alphabet series,1,Hard,"O, P",,"P, Q",,"R, R",,"S, R",,4
68 : 130 :: ? : 350,,MAT,Analogy,Number analogy,1,Medium,210,,216,,222,,240,,4
1. College 2. Child 3. Salary 4. School 5. Employment (Arrange in order),,MAT,Logical Reasoning,Ordering,1,Medium,"1, 2, 4, 3, 5",,"2, 4, 1, 5, 3",,"2, 4, 1, 5, 3",,"4, 1, 3, 5, 2",,3
"A can do a piece of work in 12 days, B can finish in 18 days. If they work on alternate days with A beginning. In how many days the work will be finished?",,MAT,Arithmetic,Work & time,1,Medium,5 1/3,,6 1/3,,14 2/3,,7 1/4,,2
Reduction of 20% in the price of sugar enables a purchaser to obtain 3 kg more for rupees 120. The original price of sugar per kg is:,,MAT,Arithmetic,Profit & loss,1,Medium,15,,12,,10,,8,,2
The average of first nine prime numbers is:,,MAT,Arithmetic,Average,1,Easy,9,,11,,11 2/9,,11 1/9,,3
P is twice as fast as Q. And Q is thrice as fast as R. The journey covered by R in 42 minutes will be covered by P in:,,MAT,Arithmetic,Time & distance,1,Medium,7 min,,14 min,,28 min,,63 min,,2
"If 1/x : 1/y : 1/z = 2:3:5, then x:y:z = ?",,MAT,Arithmetic,Ratio & proportion,1,Medium,02:03:05,,06:10:15,,05:03:02,,15:10:06,,4
A wooden block of mass 120 kg floats in water and its density is 600 kg/m³. What mass can be put on the block to make it just sink?,,Physics,Mechanics,Buoyancy,1,Medium,40 kg,,120 kg,,80 kg,,60 kg,,3
"A light body A of specific gravity ρ₁ and metallic body B of specific gravity ρ₂ are bound together. The combination is placed in liquid of specific gravity ρ. If it neither floats nor sinks in the liquid, the ratio of masses of A and B is",,Physics,Mechanics,Fluid mechanics,1,Hard,ρ₁/ρ₂ (ρ+ρ₂)/(ρ+ρ₁),,ρ₂/ρ₁ (ρ+ρ₁)/(ρ+ρ₂),,(ρ₁/ρ₂)(ρ₂+1)/(ρ₁+1),,(1-ρ/ρ₁)/(ρ₂/ρ-1),,4
A bullet loses half of its velocity after penetrating 3 cm. How much further will it penetrate before coming to rest?,,Physics,Mechanics,Motion,1,Medium,1 cm,,1.5 cm,,3 cm,,2 cm,,2
The maximum particle velocity having amplitude ‘a’ and angular velocity ω is,,Physics,Oscillations,SHM,1,Medium,aω,,a²ω,,aω²,,a/ω²,,1
"A ball of density 0.9 g/cm³ is dipped in water. If its diameter is 1 mm, then with what terminal velocity it rises up (η=15 centipoise)?",,Physics,Mechanics,Fluid mechanics,1,Hard,3.7,,1.8,,2.7,,5.6,,3
If a projectile is fired with velocity 20 ms⁻¹ from height 980 m. What is the horizontal distance it has reached?,,Physics,Mechanics,Projectile motion,1,Hard,50 m,,500 m,,280 m,,400 m,,2
"While turning of vehicles, our body is pushed towards outer side due to:",,Physics,Mechanics,Circular motion,1,Easy,Normal reaction of tyre,,Frictional force,,Lack of centripetal force,,Viscous force,,3
Dimensions of strain:,,Physics,Mechanics,Units and dimensions,1,Medium,[L],,[L]⁻¹,,[M][L]⁻¹[T]⁻²,,It’s a dimensionless quantity,,4
"The gravitational force between two objects is F. If masses of both the objects are halved without altering the distance between them, then the gravitational force would become:",,Physics,Gravitation,Newton’s law,1,Medium,F/4,,F/2,,F,,2F,,1
To a person running due east at 4 m/s raindrops appear to fall vertically downward at 3 m/s. Then the actual velocity of rain drop is:,,Physics,Mechanics,Relative velocity,1,Medium,3 m/s,,4/3 m/s,,5 m/s,,7 m/s,,3
A neutral metal loses electron. The charge of metal sphere having electron number 10¹⁴ is:,,Physics,Modern Physics,Charge & electrons,1,Medium,16 μC,,-16 μC,,32 μC,,-32 μC,,2
Two thin long parallel wires separated by distance ‘b’ are carrying a current ‘i’ ampere each. The magnitude of the force per unit length exerted by one wire on the other is:,,Physics,Electricity & Magnetism,Ampere’s law,1,Hard,μ₀i²/b²,,μ₀i²/2πb,,μ₀i²/πb,,μ₀i/2πb,,2
Ideal voltmeter has:,,Physics,Electricity,Instruments,1,Easy,Zero resistance,,Maximum resistance,,Minimum resistance,,Infinite resistance,,2
"A balloon is filled with hydrogen, for sound wave, the balloon in air behaves as:",,Physics,Waves,Sound,1,Medium,A converging lens,,A diverging lens,,Neither a nor b,,Converging or diverging lens depending on source of sound,,2
If the strength of the current increased by 1% then the power of the bulb will change by:,,Physics,Electricity,Power,1,Medium,1%,,8%,,2%,,4%,,4
The length of a bar magnet having magnetic strength 5 Am² and pole strength 25 Am is:,,Physics,Magnetism,Magnetic strength,1,Medium,10 cm,,30 cm,,20 cm,,40 cm,,1
If a potentiometer wire having emf 2 V is balanced by 20 cm. What will be its length if emf is 4 V?,,Physics,Electricity,Potentiometer,1,Medium,30 cm,,80 cm,,20 cm,,40 cm,,4
In case of bar magnet:,,Physics,Magnetism,Magnetic field,1,Easy,Magnetic field originates from N to S,,It forms closed curves,,Field originates from middle of bar magnet,,Field originates like that of mono pole,,2
"When there is no heat exchange from surrounding to a system, then the process is related with:",,Physics,Thermodynamics,Processes,1,Medium,Isothermal,,Isobaric,,Adiabatic,,Isochoric,,3
"When the amount of work done is 300 J and change in internal energy is 100 J, then the heat supplied is:",,Physics,Thermodynamics,First law,1,Medium,150 J,,200 J,,350 J,,400 J,,3
A small black spot is present on the metal plate and if the metal plate is heated to red hot and quickly placed in a dark room then the spot:,,Physics,Heat,Radiation,1,Medium,Will appear red while plate appears black,,Will appear white while plate appears red,,Will appear white while plate appears black,,Will appear invisible while plate appears black,,3
40°C is equal to:,,Physics,Heat,Temperature conversion,1,Easy,102°F,,102°F,,104°F,,106°F,,3
Instrument used to measure temperature by radiation method is:,,Physics,Heat,Instruments,1,Medium,Pyrometer,,Radiomicrometer,,Thermometer,,Barometer,,1
Which of the following is a universal constant?,,Physics,Thermodynamics,Specific heat,1,Medium,Cₚ/Cᵥ,,Cᵥ+Cₚ,,Cₚ-Cᵥ,,Cᵥ/Cₚ,,1
The equivalent focal length of two lenses is 24 cm. If one of the converging lens has 8 cm then focal length of another lens is:,,Physics,Optics,Lenses,1,Medium,Converging lens of 12 cm,,Converging lens of 10 cm,,Diverging lens of 12 cm,,Diverging lens of 10 cm,,2
"A prism having angle 10° and refractive index 1.52, then what is the deviation produced?",,Physics,Optics,Prism,1,Medium,0.52°,,5.2°,,1.52°,,10°,,2
"An object is placed at a distance of 40 cm from a concave mirror of focal length 15 cm. If the object is displaced through a distance of 20 cm towards the mirror, the corresponding shift in image will be:",,Physics,Optics,Mirrors,1,Medium,20 cm towards the mirror,,36 cm away from the mirror,,20 cm away from the mirror,,30 cm towards the mirror,,4
Total internal reflection is possible when light rays travel:,,Physics,Optics,TIR,1,Medium,Air to water,,Air to glass,,Water to glass,,Glass to water,,3
The resolving power of a telescope depends on:,,Physics,Optics,Telescope,1,Medium,Diameter of the objective lens,,Refractive index of the objective lens,,The focal length of the objective lens,,The magnification of the eye-piece,,1
The rear view mirror in a car is:,,Physics,Optics,Mirrors,1,Easy,Plane mirror,,Concave mirror,,Convex mirror,,Plano convex mirror,,3
"The initial activity is 19 counts per gram per min then the activity becomes 14 counts per gram per min. The half life is 5600 years, then what is the time period in which activity decreases to 14 counts?",,Physics,Nuclear Physics,Radioactivity,1,Medium,2500,,2000,,3000,,3500,,3
A radioactive element zXᵃ emits a particle and changed to form z-1Yᵃ. The particle emitted is:,,Physics,Nuclear Physics,Radioactivity,1,Medium,Positron,,Beta-particle,,Neutron,,Gamma particle,,2
A P-type semiconductor is formed by the addition of:,,Physics,Electronics,Semiconductors,1,Easy,N,,In,,C,,As,,2
Transformers are used in:,,Physics,Electricity,Transformers,1,Medium,Integrated circuits,,D.C. circuits only,,All the three circuits (repulsive),,A.C. circuits only,,4
Which type of radiation changes both the atomic number and mass number of the emitting atom?,,Physics,Nuclear Physics,Radiation,1,Medium,α,,β,,γ,,X-ray,,1
Photoelectrons are emitted when visible light falls on:,,Physics,Modern Physics,Photoelectric effect,1,Medium,Cesium coated oxidised silver,,Potassium,,Sodium and potassium,,None,,3
Which of the following is correct?,,Physics,Electronics,Rectifiers,1,Medium,Diode acts as rectifier,,Triode acts as rectifier,,"Diode have grid, plate & cathode",,Triode have plate & cathode,,1
Magnetism in magnetic substances is caused by:,,Physics,Magnetism,Atomic magnetism,1,Medium,Spin motion of electron,,Orbital motion of electron,,Orientation of electron,,Movement of electron,,2
A proton and helium nucleus is moved into a magnetic field having same K.E. then what is the ratio of radius?,,Physics,Magnetism,Motion in magnetic field,1,Hard,1:2,,√2:1,,1:√2,,1:1,,1
"The wavelength of two waves shown in the figure is 1.5 cm each, what is the phase difference between those waves?",,Physics,Waves,Phase difference,1,Medium,0.75π,,π,,0.625π,,3.5π,,2
"If frequency of a fork is increased by 50%, then change in tension is:",,Physics,Waves,Sound,1,Medium,50%,,75%,,100%,,125%,,3
Pitch depends upon:,,Physics,Waves,Sound,1,Easy,Frequency,,Periodicity & regularity,,No. of overtones,,Regularity,,1
Interference can be produced with the help of two independent sources if the waves coming from them have same:,,Physics,Waves,Interference,1,Medium,Wavelength,,Time period,,Phase,,Amplitude,,3
"In nuclear reactor, cadmium rod is used to:",,Physics,Nuclear Physics,Reactors,1,Medium,Slow down the energetic neutrons,,Absorb the excess of neutrons,,Remove the heat evolved,,All of these,,2
"In a stationary longitudinal wave, nodes are points of:",,Physics,Waves,Stationary waves,1,Medium,Minimum pressure variation,,Minimum pressure,,Maximum pressure variation,,Maximum pressure,,3
"An electron is present in the first excited state, then what is the excitation energy?",,Physics,Modern Physics,Bohr’s model,1,Hard,0,,10.2 eV,,3.4 eV,,6.8 eV,,2
Capacitor is used to store the charge. This phenomenon is called as:,,Physics,Electricity,Capacitor,1,Easy,Mutual inductance,,Inductance,,Resistance,,Capacitance,,4
"A capacitor ‘C’ initially connected to the battery, is charged to voltage ‘V’ and is disconnected. Now a similar capacitor with zero potential is connected to parallel. The electrostatic energy:",,Physics,Electricity,Capacitor,1,Medium,Remains same,,Reduces by a factor of 2,,Doubles,,Quadruples,,2
Galvanometer can be converted into ammeter by joining:,,Physics,Electricity,Galvanometer,1,Medium,Higher resistance in series,,Small resistance in parallel,,Higher resistance in parallel,,Small resistance in series,,2
The calcium ion is isoelectronic with:,,Chemistry,Atomic Structure,Isoelectronic species,1,Easy,Mg,,Kr,,K,,Ar,,4
What concentration of NaCl finally results from the mixture of 2 litre of 4 M NaCl with 3 litre of 1.5 M NaCl and sufficient water to dilute the solution to 10 litre?,,Chemistry,Solutions,Concentration,1,Medium,4.10 M,,1.25 M,,2.05 M,,2.75 M,,2
What pressure would be required to compress 1.00 mole of oxygen into a 5.00 L container held at 100°C?,,Chemistry,Gaseous State,Gas laws,1,Medium,12.24 atm,,1.64 atm,,6.12 atm,,3.28 atm,,1
Which of the following concentration measure changes as the temperature of a solution changes?,,Chemistry,Solutions,Concentration units,1,Medium,Mass percentage,,Molality,,Mole fraction,,Molarity,,4
Which of the following set of quantum numbers is correct for 4f?,,Chemistry,Atomic Structure,Quantum numbers,1,Medium,"n=4, l=3, m=1, s=+½",,"n=4, l=4, m=1, s=-½",,"n=4, l=2, m=-2, s=-½",,"n=3, l=3, m=-4, s=+½",,1
An alloy of Zn and Cu is dissolved in dil. HCl. Hydrogen gas is evolved. In this evolution of gas:,,Chemistry,Redox,Reactivity,1,Medium,Only zinc reacts with dil. HCl,,Only copper reacts with dil. HCl,,Only copper reacts with dil. HCl,,Both zinc and copper react with dil. HCl,,1
Not all molecules will absorb infrared radiation. Those that do:,,Chemistry,Spectroscopy,Infrared radiation,1,Medium,Undergo homolytic fission,,Change their dipole moment when their bonds stretch or bend,,Must be polar,,Are always organic substances,,2
"Ethene has double bond, hence it is:",,Chemistry,Organic Chemistry,Hydrocarbons,1,Easy,Saturated,,Unsaturated,,Paraffin,,Alcoholic nature,,2
The best yield of (CH₃)₃C-OCH₃ is carried out by:,,Chemistry,Organic Chemistry,Reactions of alcohols,1,Medium,CH₃OH+(CH₃)₃C-ONa,,CH₃Br+(CH₃)₃C-ONa,,(CH₃)₃CBr+CH₃ONa,,CH₃ONa+(CH₃)₃C-ONa,,2
Which of the salts below will produce an alkaline solution when dissolved in water?,,Chemistry,Inorganic Chemistry,Salts,1,Medium,NH₄Cl,,Na₂CO₃,,NaNO₃,,NaCl,,2
"Which one of the following aldehydes, used alone, will undergo an aldol reaction?",,Chemistry,Organic Chemistry,Aldehydes,1,Medium,"Propenal, CH₂=CHCHO",,"Butanal, CH₃CH₂CH₂CHO",,"Formadehyde, CH₂O",,"Benzaldehyde, C₆H₅CHO",,2
Hematite is an ore of:,,Chemistry,Inorganic Chemistry,Ores,1,Easy,Iron,,Copper,,Gold,,Aluminum,,1
Number of bonding pairs of electrons in water H₂O is:,,Chemistry,Chemical Bonding,Bonds,1,Medium,4,,2,,3,,1,,2
Particles in solids have:,,Chemistry,Solid State,Structure of solids,1,Medium,Least energy,,Lesser energy,,Greatest energy,,Greatest distances,,2
The best conductor is:,,Chemistry,Conductivity,Metals,1,Easy,Silver,,Gold,,Copper,,Aluminum,,1
Which are formed by Rosenmund reduction?,,Chemistry,Organic Chemistry,Reduction reactions,1,Medium,Ketone,,Ether,,Aldehyde,,Alcohol,,3
"In a redox reaction, the reducing agent:",,Chemistry,Redox,Agents,1,Medium,Gains electrons and is oxidized,,Gains electrons and reduced,,Loses electrons and is oxidized,,Loses electrons and is reduced,,3
Which of the following metals adsorb hydrogen?,,Chemistry,Inorganic Chemistry,Metals,1,Medium,Al,,K,,Pd,,Zn,,3
Which of the following elements is not a component of wood’s metal?,,Chemistry,Inorganic Chemistry,Alloys,1,Medium,Bismuth,,Cadmium,,Lead,,Titanium,,4
Which one of the following compound reacts most rapidly with water?,,Chemistry,Organic Chemistry,Hydrolysis,1,Medium,CH₃CN,,CH₃COCl,,CH₃CONH₂,,CH₃COOCH₃,,2
"For a reversible reaction for exothermic reaction, which of the following is correct?",,Chemistry,Chemical Kinetics,Activation energy,1,Medium,The activation energy of backward reaction is equal to forward reaction,,The activation energy of backward reaction is less,,The activation energy of backward reaction is greater,,None,,3
The molecular formula of a compound is C₅H₉N. How many isomers can be possible for this compound?,,Chemistry,Organic Chemistry,Isomerism,1,Medium,2,,3,,4,,5,,3
Rectified spirit is converted into unfit for drinking purpose by the addition of:,,Chemistry,Organic Chemistry,Alcohols,1,Easy,Benzene,,Methanol,,Acetic acid,,Ethanol,,2
The acid dye having sulphuric group is changed into mordant dye by addition of:,,Chemistry,Organic Chemistry,Dyes,1,Medium,Tannin,,Sodium acetate,,Cellulose,,Metal hydroxide,,4
Boiling point of water is high due to:,,Chemistry,Physical Chemistry,Intermolecular forces,1,Easy,Polar covalent bond,,Electrostatic bond,,Non polar covalent bond,,H-bond,,4
Maximum no. of unpaired electrons is present in:,,Chemistry,Inorganic Chemistry,Electronic configuration,1,Medium,Cr⁺⁺,,Sc⁺⁺,,Ti⁺⁺,,Fe⁺⁺,,4
Which of the following has highest C–O bond energy?,,Chemistry,Inorganic Chemistry,Bond energy,1,Medium,Fe(CO)₅,,Co(CO)₆,,Mn(CO)₆⁻,,V(CO)₆⁻,,2
Which of the following is weak acid?,,Chemistry,Organic Chemistry,Acids,1,Easy,Acetic acid,,Chloroacetic acid,,Dichloroacetic acid,,Trichloroacetic acid,,1
The solubility product of Ca₃(PO₄)₂ is:,,Chemistry,Physical Chemistry,Solubility product,1,Medium,[Ca²⁺][PO₄³⁻],,[3Ca²⁺][2PO₄³⁻],,[Ca²⁺]³[PO₄³⁻]²,,[Ca²⁺]³[2PO₄³⁻]²,,3
The solubility product of AgCl is 1.69×10⁻¹⁰. What is the solubility?,,Chemistry,Physical Chemistry,Solubility product,1,Medium,1.2×10⁻⁶,,1.3×10⁻⁶,,1.3×10⁻⁵,,1.44×10⁻⁵,,2
"A metallic carbide on reaction with water gives a hydrocarbon which readily burns in oxygen and it gives Tollens test, the hydrocarbon is:",,Chemistry,Organic Chemistry,Hydrocarbons,1,Medium,Methane,,Ethane,,Ethene,,Ethyne,,4
12 gm of carbon reacts with 4 gm of H₂ to give 16 gm of CH₄. This illustrates:,,Chemistry,Physical Chemistry,Stoichiometry,1,Medium,Law of multiple proportions,,Law of conservation of mass,,Law of constant proportions,,Law of reciprocal proportions,,3
What is the unit of rate constant for 1st order reaction?,,Chemistry,Chemical Kinetics,Rate constant,1,Medium,mol⁻¹L⁻¹T⁻¹,,mol⁻¹T⁻¹,,T⁻¹,,mol⁻²L⁻²T⁻¹,,3
