"A person speaking normally produces a sound intensity of 10⁻⁶ W/m² at a distance of 1 m. If threshold of audibility is 20 dB, then maximum distance upto which he can be heard clearly is",,Physics,Sound,Intensity & dB,1,Medium,5 m,,20 m,,40 m,,100 m,,3
"Two parallel plate capacitors are charged to 200V. When plates are joined, energy loss is 25%. The dielectric constant of slabs is same. The value of K is",,Physics,Electrostatics,Capacitors,1,Hard,2.5,,2,,5,,4,,1
The equivalent resistance from P to Q in circuit shown in figure is,[circuit diagram],Physics,Current Electricity,Series & Parallel Circuits,1,Hard,2Ω,,5Ω,,7Ω,,3Ω,,3
A coil having 500 square loops of side 10 cm is placed normal to magnetic field which increases at the rate of 1 T/s. The induced emf is,,Physics,EMI,Faraday's Law,1,Easy,0.5 V,,5 V,,0.1 V,,1 V,,2
Two samples A & B having decay constant 5λ and λ respectively. They had same no. of nuclei initially. Then the ratio of no. of atoms of A and B (Nₐ/Nb) after 2s is:,,Physics,Modern Physics,Radioactivity,1,Hard,44,,4,,1/4,,1/2,,3
The product (A) in the reaction NO₂ (benzene) → Electrolytic redn (strong acidic medium) is,,Chemistry,Organic,Reduction Reaction,1,Medium,Aniline,,p-amino phenol,,Phenyl hydroxylamine,,Azobenzene,,1
The domain of the function f(x) = x / log₁₀x is,,Mathematics,Functions,Domain,1,Medium,"(0, ∞)",,"(0, ∞) - {1}",,"(0, ∞) - {0}",,"(0, ∞) - {10}",,2
The A.M. of n observations is M. If the sum of remaining (n-1) observations is α then the mean of remaining data is,,Mathematics,Statistics,Mean,1,Medium,nM - α,,M - α,,nM + α,,(nM - α)/(n-1),,4
The coefficient of x³ in the expansion (4 + x)⁸ is,,Mathematics,Binomial Theorem,Expansion,1,Easy,"C(8, 5) 4⁵",,"C(8, 3) 4⁵",,"C(8, 5) 4³",,"C(8, 3) 4³",,4
"From 5 gentlemen and 4 ladies, a committee of 5 is to be formed. The number of ways in which committee can be formed so that gentlemen are in majority is",,Mathematics,Permutation & Combination,Committee,1,Medium,246,,80,,56,,86,,1
"The probability that the two digit numbers formed by digits 1, 2, 3, 4, 5 is divisible by 4 is",,Mathematics,Probability,Divisibility,1,Medium,2/5,,1/5,,1/2,,3/10,,2
"If sin⁻¹x + cos⁻¹x = π/6, then √(1 - x²) =",,Mathematics,Inverse Trig,Identity,1,Medium,1/2,,√3/2,,1/√2,,1/3,,2
The wavelength of line of Lyman series is 1216 Å. The wavelength of 2nd line of Lyman series is,,Physics,Modern Physics,Hydrogen Spectrum,1,Medium,1026 Å,,1120 Å,,1096 Å,,1062 Å,,1
0.168 g magnesium metal on reaction with acid gave 0.0987 g of magnesium salt. The equivalent weight of acid is,,Chemistry,Equivalent Concept,Equivalent Weight,1,Medium,46,,49,,53,,56,,2
Kg of NaOH containing 6% by weight of water required 40 liters of 1.8N H₂SO₄ for complete neutralization. The value of x is,,Chemistry,Acid-Base,Neutralization,1,Hard,14,,32,,42,,47,,4
The pH of 10⁻³ M NaOH solution at 25°C is,,Chemistry,Ionic Equilibrium,pH Calculation,1,Easy,11,,3,,14,,1,,1
The Nernst equation for the electrode potential is,,Chemistry,Electrochemistry,Nernst Equation,1,Medium,E = E⁰ + RT/nF ln [Mⁿ⁺],,E = E⁰ + RT/nF ln [M],,E = E⁰ + RT/nF ln ([M]/[Mⁿ⁺]),,E = E⁰ + RT/nF ln ([Mⁿ⁺]/[M]),,4
The salt that gives cationic hydrolysis is,,Chemistry,Salt Hydrolysis,Types of Hydrolysis,1,Medium,NaCl,,CH₃COONa,,KNO₃,,NH₄Cl,,4
IUPAC name of CH₃CH = CH - NH₂ is,,Chemistry,Organic Chemistry,Nomenclature,1,Medium,1-amino prop-2-ene,,3-amino prop-2-ene,,3-amino propene,,1-amino propene,,1
"Gas prepared from metal sulphide passed through [Cl₂ on As₂S₃, SO₂ in presence of HCl and NaOH and NH₄OH solution] in neutral medium",,Chemistry,Qualitative Analysis,Group Test,1,Hard,H₂S,,NO,,NH₃,,Cl₂,,3
"The pair of lines passing through the point (3, 2, 3) and perpendicular to the lines 5x² – 8xy = 0 is",,Mathematics,3D Geometry,Lines,1,Hard,"3x² + 8xy + 5y², 2x − 4y = 1",,"3x² + 8xy + 5y², 2x − 4y = 0",,"3x² − 8xy + 5y², 2x − 4y = 0",,"3x² + 8xy − 5y², 2x − 4y = 0",,2
The line y = mx + √(m² + 4) touches the parabola y² = 4ax at,,Mathematics,Conic Section,Parabola,1,Medium,"(a, 2a/m)",,"(a/m, a)",,"(a², a/m)",,"(a/m², a)",,4
Eccentricity of the conic 6x² + 7y² = 112 is,,Mathematics,Conic Section,Ellipse,1,Easy,7/16,,1/6,,√(7/16),,1,,3
The angle between the planes 3x + 4y + 5z = 0 and 2x − y − 2z = 5 is,,Mathematics,3D Geometry,Angle between Planes,1,Hard,π/6,,π/2,,π/4,,π,,1
"If f(x) = logₑ(logₓx), then f’(x) at x = e is",,Mathematics,Calculus,Differentiation,1,Medium,1,,0,,1/e,,e,,3
∫ dx / √(1 + x²) is equal to,,Mathematics,Integration,Standard Integrals,1,Medium,sinh⁻¹x + c,,tan⁻¹x + c,,cosh⁻¹x + c,,log(1 + x²) + c,,1
∫ 2/(1 + x³)√2 − 2(1 + x³)¹/² dx + c is,,Mathematics,Integration,Substitution,1,Hard,2/3 (1 + x³)³/² + c,,2/3 (1 + x³)¹/² + c,,3/2 (1 + x³)³/² + c,,2 (1 + x³)³/² + c,,1
Maximum value of x(1 − x²) when 0 ≤ x ≤ 2 is,,Mathematics,Maxima Minima,Application of Derivatives,1,Medium,4/27,,2/7,,7/27,,5/27,,1
"For 0 ≤ x ≤ π, the area bounded by y = x and y = x + sinx, square unit is",,Mathematics,Definite Integration,Area Between Curves,1,Medium,2,,4,,1,,6,,1
Why do many local people look hungrily at the game reserves?,,English,Reading Comprehension,Passage-based,1,Medium,to seek land for their own cultivation,,there may be danger to them and their villages,,they dislike living a deserted place,,they may be hungry and want to eat the animals,,1
What is causing soil erosion in the game reserves?,,English,Reading Comprehension,Passage-based,1,Medium,special heat storms,,disappearance of vegetation,,overgrazing by herds,,fear of human,,3
"As far as you can tell from the passage, why does the Government bother to maintain game reserves?",,English,Reading Comprehension,Passage-based,1,Medium,to stop people from using the land,,to keep the vegetation under control,,to obtain income from tourism,,to make the country beautiful,,3
What may be the attitude of the animals (in these reserves) in general in a few years?,,English,Reading Comprehension,Passage-based,1,Medium,they may become a nuisance in various ways,,they may become too shy to be seen,,they may chase away every visitor,,they may start to leave the reserves and attack the local people,,1
The range of a projectile when launched at angle θ is same as when launched at an angle 2θ then value of θ is,,Physics,Mechanics,Projectile Motion,1,Medium,15°,,30°,,45°,,60°,,3
A vehicle is moving on a rough horizontal road with velocity v. The stopping distance will be directly proportional to,,Physics,Mechanics,Laws of Motion,1,Easy,√v,,v,,v²,,v³,,3
10g of ice is mixed with 10g of water at 10°C. The temperature of mixture will be,,Physics,Heat,Calorimetry,1,Medium,0°C,,4°C,,6°C,,8°C,,3
A sample of gas is compressed isothermally to half of its volume. It is now compressed adiabatically to same volume then final pressure will be,,Physics,Thermodynamics,Gas Laws,1,Medium,more in adiabatic,,less in adiabatic,,same in both,,more or less depends on initial condition,,1
The ratio of intensities of two waves is 1/16 then the ratio of their amplitude is,,Physics,Waves,Wave Motion,1,Easy,1/4,,1/2,,1/16,,16/17,,1
"Two charges are placed at a certain distance apart in air. If the glass slab is introduced between them, the force between them will",,Physics,Electrostatics,Coulomb's Law,1,Easy,Increases,,Decreases,,Remain same,,Be zero,,2
A 10Ω thick wire is stretched so that its length increases by three times then new resistance will be,,Physics,Electricity,Resistance,1,Medium,90Ω,,30Ω,,900Ω,,160Ω,,1
The device that is used to obtain a virtual & diminished image is,,Physics,Optics,Mirrors and Lenses,1,Easy,concave mirror,,convex lens,,convex mirror,,plane mirror,,3
Point at which earthquake start is known as,,Geology,Seismology,Earthquake,1,Easy,Epicentre,,Hypocentre,,Orthocentre,,Focus,,2
A body is moved along a straight line by a machine delivering constant power. The distance moved by body in time 't' is proportional to,,Physics,Mechanics,"Work, Energy and Power",1,Medium,t^1/2,,t^3/4,,t^3/2,,t^2,,2
The height to which a cylindrical vessel of diameter 'd' be filled with a liquid so that the total force on the vertical surface of the vessel be equal to the force on the bottom is,,Physics,Mechanics,Pressure,1,Hard,h = d,,h = 2d,,h = 3d,,h = d/2,,2
"When a ray of light enters in a medium of refractive index μ, then it is observed angle of refraction is half of angle of incidence. The value of angle of incidence is",,Physics,Optics,Refraction,1,Hard,2 sin⁻¹(μ/2),,2cos⁻¹(μ),,cos⁻¹(μ/2),,2cos⁻¹(μ/2),,4
A charged spherical conductor of radius 10 cm has potential V at a point at 5 cm from centre. The potential at a point 15 cm from centre will be,,Physics,Electrostatics,Electric Potential,1,Medium,V/3,,2V/3,,3V/2,,3V,,2
Two parallel wires carrying current in the opposite directions,,Physics,Magnetism,Magnetic Force,1,Easy,attract each other,,repel each other,,do not affect each other,,get rotated perpendicular,,2
How many number of peroxide bond present in HClO5?,,Chemistry,Inorganic Chemistry,Oxyacids,1,Medium,1,,2,,3,,4,,2
Iso-electronic species pair of CO is,,Chemistry,Atomic Structure,Iso-electronic Species,1,Medium,N₂,,O₂⁺⁺,,Si,,All,,4
The possible principal quantum number of any electron in magnetic quantum number (m = -3) is,,Chemistry,Atomic Structure,Quantum Numbers,1,Medium,1,,2,,3,,4,,3
NaHCO₃ salt is,,Chemistry,Acid-Base,Salt Properties,1,Easy,Acidic,,Basic,,Basic acid,,Acid is base,,3
The given rate law represents: Rate = K[A]²[B]¹,,Chemistry,Chemical Kinetics,Rate Law,1,Medium,first order reaction,,second order reaction,,third order reaction,,fifth order reaction,,3
Which ions is not found in same water sample,,Chemistry,Inorganic Chemistry,Common Ion Effect,1,Medium,HCO₃⁻ & CO₃²⁻,,OH⁻ & HCO₃⁻,,OH⁻ & CO₃²⁻,,All,,4
Which gas is responsible for bleaching of pink rose to colourless?,,Chemistry,Environmental Chemistry,Gases,1,Easy,Cl₂,,NH₃,,CO₂,,H₂S,,1
The correct information for monoclinic crystal system where symbols represent their general meanings is,,Chemistry,Solid State,Crystal System,1,Hard,a = b = c and α = β = γ = 90°,,a ≠ b ≠ c and α = β = γ = 90°,,a ≠ b ≠ c and α = β = γ ≠ 90°,,a ≠ b ≠ c and α = γ = 90° and β ≠ 90°,,4
The polydentate ligand is,,Chemistry,Coordination Compounds,Ligands,1,Medium,NH₃,,EDTA,,Cl⁻,,CN⁻,,2
The Hg₂Cl₂ is known as,,Chemistry,Inorganic Chemistry,Salts,1,Medium,Calomel,,Corrosine sublimate,,Philosopher's wool,,Verdigris,,1
Excess of chlorine reacts with ammonia to form,,Chemistry,Inorganic Chemistry,Reactions of Chlorine,1,Medium,NH₄Cl + N₂,,N₂,,NH₄Cl only,,NH₄Cl + NCl₃,,4
The IUPAC name of C₆H₅–CH₂–OH is,,Chemistry,Organic Chemistry,IUPAC Nomenclature,1,Medium,Benzene alcohol,,Methyl alcohol,,Phenyl methanol,,Benzene methyl alcohol,,3
The functional isomer of carboxylic acid (–COOH),,Chemistry,Organic Chemistry,Isomerism,1,Medium,Ester,,Acid chloride,,Ketone,,Ether,,1
The compound (A) in the reaction is C₆H₅Cl + FeCl₃ (Dark) → (A),,Chemistry,Organic Chemistry,Electrophilic Substitution,1,Medium,m-dichlorobenzene,,o-dichlorobenzene,,benzene,,"1,2,4-trichlorobenzene",,2
"If 2sin2x = sinx, then general values of x are given by",,Mathematics,Trigonometry,General Solutions,1,Medium,2nπ,,nπ/3,,nπ,,nπ + π/2,,2
The range of the function f(x) =,x – 1,is,,Mathematics,Calculus,Function Range,1,Easy,"(–∞, 0)",,"[0, ∞)",,ℝ,,ℝ – {1}
The least integer k which makes the roots of the equation x² + 5x + k = 0 imaginary is,,Mathematics,Algebra,Quadratic Equations,1,Easy,4,,5,,6,,7,,3
lim x→π/4 (1 + tanx) / cos2x =,,Mathematics,Calculus,Limits,1,Hard,1/2,,1,,–1,,0,,1
If f(x) =,cosx,then f(3π/4) =,,Mathematics,Trigonometry,Absolute Functions,1,Easy,1/2,,√3/2,,–1,,1/√2
∫ (e^(tan⁻¹x)) / (1 + x²) dx =,,Mathematics,Calculus,Integration,1,Medium,log(1 + x²) + c,,log e^(tan⁻¹x) + c,,e^(tan⁻¹x) + c,,tan⁻¹x e^(tan⁻¹x) + c,,3
If a = (2î + ĵ + k̂) and b = (5î – 3ĵ + 2k̂) then the projection of b upon a is,,Mathematics,Vectors,Projection,1,Medium,3,,4,,5,,6,,2
¬[(¬p) ∧ q] is equal to,,Mathematics,Logic,Propositional Logic,1,Medium,¬p ∨ q,,p ∨ ¬q,,¬p ∨ ¬p,,p ∧ ¬q,,2
"The distance of P(x, y, z) from xy-plane is",,Mathematics,3D Geometry,Coordinate Geometry,1,Easy,x,,z – y,,z,,,z,
The probability of getting an even number when a die is thrown once is,,Mathematics,Probability,Basic Probability,1,Easy,1/3,,2/3,,3/2,,1/2,,1
A – B is equal to,,Mathematics,Sets,Set Theory,1,Easy,(A ∪ B) – (A ∩ B),,A ∩ BC,,A ∩ B,,B – A,,1
"The 19th term of the progression 2, 6, 10, ... 86 from end is",,Mathematics,Arithmetic Progression,Sequences,1,Medium,10,,14,,18,,6,,2
If Arg(z) = θ then Arg(z̅) =,,Mathematics,Complex Numbers,Argument,1,Easy,θ,,–θ,,π – θ,,–π,,2
"The homogeneous equation ax² + 2hxy + by² = 0 represents real and coincident lines, if",,Mathematics,Coordinate Geometry,Pair of Lines,1,Hard,h² = ab,,h² < ab,,h² > ab,,b² = ab,,1
The number of 5 digit numbers that can be formed without any restrictions is,,Mathematics,Permutation & Combination,Number System,1,Easy,"990,000",,9 × 4!,,"100,000",,"90,000",,1
If v is the variance and σ is the standard deviation then,,Mathematics,Statistics,Variance & Standard Deviation,1,Easy,v² = σ,,v = σ²,,v = 1/σ,,v = 1/σ²,,2
"If f(2) = 4, f(2) = 4 then lim x→2 [(xf(2) – 2f(x))/(x – 2)]",,Mathematics,Calculus,Limits,1,Medium,–2,,–4,,2,,3,,4
∫ dx / (x – x²),,Mathematics,Calculus,Integration,1,Medium,log x – log(1 – x) + c,,log(1 – x²) + c,,–log x + log(1 – x) + c,,log(x – x²) + c,,1
The equation (K – 3)x + (K – 4)y = K – 6 represents line parallel to x-axis then K =,,Mathematics,Coordinate Geometry,Straight Line,1,Medium,3,,4,,6,,0,,2
The sum of distances of any point on ellipse x²/25 + y²/16 = 1 from foci,,Mathematics,Conic Section,Ellipse,1,Medium,25,,6,,10,,8,,3
Check out the word which is stressed on its last syllable.,,English,Phonetics,Stress,1,Easy,important,,tomorrow,,discipline,,understand,,2
A diphthong is a combination of…,,English,Phonetics,Vowels and Consonants,1,Easy,two vowels,,two consonants,,one vowel plus one consonant,,three vowels,,3
I turned … his request.,,English,Grammar,Prepositions,1,Easy,up,,over,,down,,at,,2
"The synonym of ""improvident"" is …",,English,Vocabulary,Synonyms,1,Medium,thriftless,,incautious,,unhappy,,shabby,,2
"This sentence is not used as a passive form of ""I know that he is honest"".",,English,Grammar,Active-Passive Voice,1,Hard,That is honest is known to me,,This he is honest is known to me,,It is known to me that he is honest,,He is known to be honest,,2
A number of students … arrived.,,English,Grammar,Subject-Verb Agreement,1,Easy,has,,is,,have,,was,,3
Don't believe in people who bow hot and cold.,,English,Idioms,Idiomatic Expressions,1,Medium,to be foolish,,to be inconsistent,,to be extravagant,,to be angry,,2
I'm looking forward to see you.,,English,Grammar,Gerunds & Infinitives,1,Medium,look forward to see you,,looking forward to seeing you,,looking forward seeing you,,none,,2
Think … the matter before you give your decision.,,English,Grammar,Prepositions,1,Easy,on,,upon,,over,,at,,3
… the time you get there it will be dark.,,English,Grammar,Conjunctions,1,Easy,By,,At,,On,,In,,1
Which of the following words does not have the phoneme /ʃ/?,,English,Phonetics,Phonemes,1,Medium,condition,,machine,,mission,,assist,,4
The word “simultaneous” carries the main stress on its … syllable.,,English,Phonetics,Word Stress,1,Medium,first,,second,,third,,fourth,,3
A body sliding on a smooth inclined plane required 4 sec. to reach the bottom starting from rest at the top. The time taken by it to cover one fourth of distance starting from rest at top is,,Physics,Mechanics,Motion on Inclined Plane,2,Medium,1 sec,,2 sec,,4 sec,,16 sec,,1
A boy of 40kg is climbing a vertical pole at a constant speed. If the coefficient of friction between his palms & pole is 0.8 then force applied on pole is,,Physics,Mechanics,Friction,2,Medium,500N,,400N,,300N,,600N,,2
The wt of a person is 60kg on the surface of earth then height at which the wt of person become 30kg (Radius of earth 6400km),,Physics,Gravitation,Acceleration due to gravity,2,Medium,2650 km,,3000 km,,2020 km,,1500 km,,1
A raft of 600kg/m³ of mass 120kg floats in water. The weight placed on raft so that it just sink is,,Physics,Mechanics,Archimedes Principle,2,Medium,120 kg,,200 kg,,40 kg,,80 kg,,4
A wire has frequency f. If length is made double by stretching then its frequency will be,,Physics,Waves,Vibrations of Strings,2,Medium,1.4 f,,0.7 f,,2 f,,f,,2
A capacitor of capacitance 1μF can withstand a potential difference of 6kV. Another capacitor of 1μF can withstand a potential difference of 4kV. When placed in series then maximum potential can withstand is,,Physics,Electricity,Capacitors in Series,2,Medium,3 kV,,4 kV,,6 kV,,8 kV,,4
The galvanometer records zero deflection then value of x is (circuit image),,Physics,Electricity,Wheatstone Bridge,2,Medium,10Ω,,20Ω,,40Ω,,80Ω,,2
A battery of 25 cells is charged by 250v with charging current of 10A. If emf of each cell is 2V and internal resistance is 0.2Ω then resistance in series required is,,Physics,Electricity,Internal Resistance,2,Hard,5Ω,,10Ω,,15Ω,,25Ω,,2
"A circuit has resistance 11Ω, inductive reactance 25Ω and capacitive reactance 18Ω. It is connected to a source of 260V & 50Hz then current will be",,Physics,AC Circuits,Impedance,2,Hard,11A,,15A,,18A,,20A,,3
In Young's double slit experiment 3rd bright fringe is obtained on screen for 700nm. The wavelength of light for which 5th bright fringe is obtained at same point is,,Physics,Wave Optics,Interference,2,Medium,420 nm,,500 nm,,750 nm,,630 nm,,4
The illuminance at a point on plane surface at a distance 4m from bulb is 10³ lm/cm². The line joining bulb makes an angle 60° with normal at point on surface then luminous intensity of bulb is,,Physics,Light,Illuminance,2,Hard,40 cd,,80 cd,,60 cd,,320 cd,,4
"In Millikan's oil drop experiment, a drop of charge Q and radius r is kept stationary between two parallel plates of potential difference 800V.",,Physics,Modern Physics,Millikan's Experiment,2,Medium,—,,—,,—,,—,,—
The charge on other drop of radius 2r which is kept stationary by a 3200V is,,Physics,Modern Physics,Millikan's Experiment,2,Hard,Q/2,,2Q,,4Q,,Q/4,,1
A radioactive substance decay by (15/16) of its initial activity in 40 days. The half life of source is,,Physics,Nuclear Physics,Radioactivity,2,Medium,2.5 days,,5 day,,10 days,,20 days,,3
The oxide of an element possesses the formula M₂O₃. If the equivalent weight of the metal is 9 then the atomic weight of the metal will be,,Chemistry,Inorganic Chemistry,Oxides & Equivalent Weight,2,Medium,18,,1.8,,2.7,,27,,4
The pH value of a solution obtained by mixing 600ml of 0.1M NaOH and 400ml of 0.1M Ca(OH)₂ is,,Chemistry,Acid-Base,pH Calculation,2,Medium,9.12,,10.49,,13.15,,13.99,,3
The standard electrode potential of anode and cathode of a galvanic cell is,,Chemistry,Electrochemistry,Electrode Potentials,2,Medium,=+ve for anode and –ve for cathode,,=+ve for cathode and –ve for anode,,low for anode and high for cathode,,high for anode and low for cathode,,1
The first law of thermodynamics represents,,Chemistry,Thermodynamics,First Law,2,Easy,Law of conservation of energy,,Law of entropy,,Law of feasibility of reaction,,All of the above,,1
On passing excess of ammonia gas through aqueous solution of CuSO₄ the deep blue colouration of compound is,,Chemistry,Coordination Compounds,Complex Compounds,2,Medium,[Cu(NH₃)₄] SO₄,,[Cu(NH₃)₂] SO₄,,[Cu(NH₃)₃] SO₄,,[Cu(NH₃)₄]₂ SO₄,,1
The molecular formula of dental cement is,,Chemistry,Inorganic Chemistry,Common Compounds,2,Easy,ZnO,,ZnCl₂,,ZnO + ZnCl₂,,ZnCO₃ + ZnSO₄,,4
Which of these can reduce benzene diazonium chloride to benzene?,,Chemistry,Organic Chemistry,Reduction,2,Medium,H₃PO₂,,H₃PO₃,,H₃PO₄,,HPO₃,,1
In the given chemical reaction: HI + HNO₃ → NO₂ + H₂O + I₂,,Chemistry,Redox Reactions,Oxidation-Reduction,2,Medium,I is oxidized and H is reduced,,H is reduced and O is oxidized,,N is reduced and I is oxidized,,"H, I are reduced and N, O are oxidized",,3
"If A₁, A₂, A₃ be the areas of ex-circles and A be the area of In-circle of a triangle then value of 1/√A₁ + 1/√A₂ + 1/√A₃ is",,Mathematics,Geometry,Circles,2,Hard,1/√A₁A₂A₃,,1/√π₁,,√A,,1/√A,,4
"If a, b, c are in G.P., then logₐm, log_bm, log_cm are in",,Mathematics,Logarithm,Progressions,2,Medium,A.P.,,G.P.,,H.P.,,None,,3
The probability that in the toss of two dice we obtain the sum 7 or 11 is,,Mathematics,Probability,Dice,2,Easy,1/6,,1/18,,2/9,,3/4,,3
The coefficient of x⁵⁰ in the expansion of (1 + x)⁵⁰ (1 – x + x²)⁵⁰ =,,Mathematics,Binomial Theorem,Coefficients,2,Hard,⁵⁰C₅,,⁵⁰C₁₀,,⁵⁰C₂₉,,⁵⁰C₃₀,,2
The length of the common chord of the circles x² + y² = 12 and x² + y² – 4x + 3y – 2 = 0 is,,Mathematics,Coordinate Geometry,Circle,2,Hard,4√2,,4,,8,,16√3,,1
The general solution of the differential equation logₑ(dy/dx) = (x + y) is,,Mathematics,Differential Equations,General Solution,2,Hard,e^x + e^y = c,,e^x + e^–y = c,,e^x + e^y = c,,e^x + e^–y = c,,3
If y = a sin(mx) + b cos(mx) then d²y/dx² =,,Mathematics,Calculus,Differentiation,2,Easy,–m²y,,m²y,,–my,,y,,1
The area bounded by the curve y =,x,",",x,#ERROR!,,Mathematics,Calculus,Area Under Curve,2,Medium,2 sq. units,,1/2 sq. units,,1 sq. units
If a and b are unit vectors such that,a + b,#ERROR!,a – b,#ERROR!,,Mathematics,Vectors,Vector Algebra,2,Medium,1,,2,,3
The value of p for the equations 4x² + px – 12 = 0 and 4x² + 3px – 4 = 0 have a common root is,,Mathematics,Algebra,Quadratic Equation,2,Hard,p = ±3,,p = ±2,,p = 1,,p = 4,,1
The equation x²/(2 – r) + y²/(r – 5) + 1 = 0 represents an ellipse of,,Mathematics,Conic Section,Ellipse,2,Medium,r > 2,,2 < r < 5,,r = 2 or r = 5,,2 ≤ r ≤ 5,,2
"The S.D. of 5 scores 1, 2, 3, 4, 5 is",,Mathematics,Statistics,Standard Deviation,2,Easy,2/5,,3/5,,√2,,√3,,3
Let the function f: R → R be defined by: f(x) = (3x – 1) if x > 3; = x² – 2 if –2 < x < 3; = (2x + 3) if x < –2,,Mathematics,Functions,Piecewise Functions,2,Medium,—,,—,,—,,—,,—
Then f(–1) is equal to,,Mathematics,Functions,Piecewise Evaluation,2,Easy,f(–3),,2f(–3),,1/2f(–3),,1/3f(–3),,3
The value of 1/(n + 1) + 1/2(n + 1)² + 1/3(n + 1)³ + ... to ∞ is,,Mathematics,Series,Infinite Series,2,Hard,log(n + 1),,1/n – 1/2n² + 1/3n³ – ... + ∞,,2log(n – 1),,log(n/(n – 1)),,1
∫ from 0 to π/4 of 1/(1 + sinx) dx =,,Mathematics,Calculus,Definite Integration,2,Hard,π/4,,1/2,,2√2,,1/√2,,4
"As a boy, Pablo Picasso was",,English,Reading Comprehension,Passage-based,1,Easy,ordinary looking but talented,,handsome and talented,,handsome and studious,,handsome and hardworking,,2
He was spoilt mostly because he was,,English,Reading Comprehension,Passage-based,1,Easy,a smart boy,,loved by one and all,,the only son in the family,,always surrounded by notorious boys,,3
Picasso went to school only when,,English,Reading Comprehension,Passage-based,1,Easy,his father accompanied him,,his father helped him,,he was allowed to paint at school,,he was allowed to carry a pet with him,,1
"When his father painted in the college, Pablo",,English,Reading Comprehension,Passage-based,1,Easy,occasionally helped him,,rarely helped him,,invariably helped him,,invariably helped him,,3
"A ring radius 'R' slides down an inclined plane and reaches the bottom with speed v. If the radius of the ring is doubled keeping its mass constant, speed at bottom of inclined plane will be",,Physics,,Mechanics,1,,2v,,√2 v,,v/√2,,v,,2
A satellite is orbiting around the earth with total energy E. The KE of satellite is 2E then satellite will have,,Physics,,Gravitation,1,,Radius of orbit is doubled,,Radius of orbit is halved,,Period of revolution is doubled,,Satellite will escape away,,2
An ideal monoatomic gas is heated isobarically. The fraction of heat supplied is used for doing work against external pressure.,,Physics,,Thermodynamics,1,,1/5,,2/5,,3/5,,4/5,,4
Rate of emission of a black body is R at 0°C then rate of emission at 273°C will be,,Physics,,Thermal Radiation,1,,4R,,8R,,16R,,32R,,4
Two balls carrying charges 8μC and –5μC attract each other with a force F. If a charge –3μC is added to both the force between the balls will be,,Physics,,Electrostatics,1,,2F,,F,,F/2,,F/4,,4
A resistor R has power dissipation P with cell of emf E. The resistor is cut in n equal parts and all parts are connected in parallel with cell then new power will be,,Physics,,Current Electricity,1,,nP,,n²P,,P/n,,n²p,,2
The mother and daughter element with emission of β particles are,,Physics,,Nuclear Physics,1,,Isotopes,,Isobars,,Isotones,,Isomers,,2
"In an npn transistor, the collector current is 10mA. If 80% of the emitted electrons reach to the collector then emitter current is",,Physics,,Electronics,1,,12 mA,,10 mA,,8 mA,,4 mA,,1
"The distance travelled by a body falling from rest in first, 2nd, 3rd ..... seconds will be",,Physics,,Kinematics,1,,1:2,,1:3:5,,1:4:9,,01:04:07,,2
A lift is moving up with an acceleration 1/5 of that due to gravity. The apparent weight of a 60kg man standing is lift will be,,Physics,,Mechanics,1,,48 kg,,72 kg,,60 kg,,84 kg,,2
When an empty vessel is filled with water then the frequency of vessel,,Physics,,Waves and Sound,1,,Increases,,Decreases,,Remain same,,May increase or decrease,,2
A converging lens has a focal length 1 m. The minimum distance between a real object and its real image will formed by this lens is,,Physics,,Optics,1,,4 m,,2 m,,1 m,,0.5 m,,2
Inside a hollow spherical conductor the potential is,,Physics,,Electrostatics,1,,constant,,varies directly as the distance,,varies inversely as distance,,varies inversely as the square of distance,,1
"The coefficient of friction between the tyre and road is 0.4. A vehicle is moving with a speed of 8 m/s, then distance travelled before coming to rest is",,Physics,,Mechanics,1,,2 m,,4 m,,8 m,,16 m,,2
How many number of peroxide bonds present in H₂S₂O₈?,,Chemistry,,Inorganic Chemistry,1,,1,,2,,3,,4,,2
Iso-electronics species pair of H₂O is,,Chemistry,,Chemical Bonding,1,,H₃O⁺,,NH₄⁺,,CH₃⁻,,All,,4
The possible azimuthal quantum numbers of element in N-shell is,,Chemistry,,Atomic Structure,1,,"0, 1",,"0, 1, 2",,"0, 1, 2, 3",,"0, 1, 2, 3, 4",,3
NH₄HSO₄ salt is,,Chemistry,,Salt Analysis,1,,Acidic,,Basic,,Acidic acid,,Basic acid,,1
Octet rule is violated in,,Chemistry,,Chemical Bonding,1,,IF₇,,SF₆,,BeCl₂,,All,,4
Temporary hardness is caused by,,Chemistry,,Water Chemistry,1,,Carbonates of Ca and Mg,,Bicarbonates of Ca and Mg,,Sulphates of Ca and Mg,,Chloride of Ca and Mg,,2
The concentration of Fe from limonite ore is,,Chemistry,,Metallurgy,1,,Lavigation,,Froath floatation process,,Electromagnetic separation,,Leaching,,4
Which substance is used in fire proofing agent?,,Chemistry,,Applied Chemistry,1,,ZnCO₃,,ZnO,,ZnS,,ZnCl₂,,4
FeCO₃ → FeO + CO₂. This operation in metallurgy is known as,,Chemistry,,Metallurgy,1,,Calcination,,Roasting,,Smelting,,Refining,,1
Water and alcohol can be separated from a mixture of two by,,Chemistry,,Separation Techniques,1,,Evaporation,,Sublimation,,Fractional distillation,,Decantation,,3
